,buyer,seller,price,amt
78,-10449.21,450839.33,8.84,50971.41
79,-9577.42,440123.89,8.68,50677.70
80,-11755.02,466803.76,8.81,52990.85
81,-11809.53,435608.75,8.73,49877.43
82,-8509.55,390219.88,8.65,45120.21
83,-8613.69,410826.29,8.63,47593.86
84,-8721.29,411594.51,8.69,47378.93
85,-11542.69,435103.63,8.63,50444.46
86,-15732.21,557117.51,8.87,62824.48
87,-13386.46,507236.59,8.90,56979.24
88,-13835.38,531909.80,8.66,61444.12
89,-18449.61,574811.10,8.74,65788.81
90,-18412.40,563542.28,8.69,64844.41
91,-14058.45,563031.50,8.58,65632.45
92,-12235.60,555477.03,8.63,64368.98
93,-15484.60,474963.83,8.82,53878.99
94,-7001.39,389257.30,8.68,44854.49
95,-7394.18,402588.94,8.70,46267.50
96,-10409.32,405696.50,8.77,46254.00
97,-10389.86,418128.89,8.77,47683.00
98,-8808.70,435218.66,8.64,50381.75
99,-10322.75,464784.64,8.65,53747.12
100,-14857.10,543298.54,8.84,61443.81
101,-17173.84,563739.06,8.71,64705.41
102,-13892.70,604275.42,8.66,69780.45
103,-13744.06,541457.98,8.71,62177.73
104,-12021.25,464954.39,8.66,53662.61
105,-8914.92,411863.31,8.58,47986.56
106,-9857.65,421706.13,8.65,48730.28
107,-11008.59,468916.17,8.57,54735.64
108,-15131.07,495282.84,8.71,56859.82
109,-13615.05,584527.85,8.55,68389.91
110,-14082.67,622831.00,8.65,72035.95
111,-14927.76,624917.97,8.68,72020.23
112,-19977.00,647110.99,8.77,73801.36
113,-31574.18,520161.73,9.11,57068.62
114,-18669.53,775059.41,8.72,88844.47
115,-20530.39,740848.39,8.83,83931.23
116,-34504.67,735238.33,9.12,80589.08
117,-21841.30,855120.70,8.94,95608.06
118,-22093.52,770616.90,8.99,85690.53
119,-14964.77,645780.86,8.62,74953.76
120,-19484.21,602881.59,8.77,68745.88
121,-14267.62,537207.20,8.68,61902.94
122,-20835.13,641758.66,8.84,72597.47
123,-19445.30,671129.13,8.95,75017.74
124,-20391.36,755306.37,8.78,86006.62
125,-23587.17,737542.09,8.81,83730.06
126,-21023.84,774188.12,8.96,86450.53
127,-32576.89,530638.02,9.22,57539.30
128,-16596.93,739532.83,8.99,82225.38
129,-16184.69,749339.29,8.79,85245.94
130,-21865.84,816018.39,8.81,92634.22
131,-21146.45,763777.60,8.72,87635.36
132,-14546.75,569800.37,8.64,65975.18
133,-11395.22,489721.46,8.59,56984.09
134,-12077.88,512047.40,8.63,59305.30
135,-13595.35,546917.05,8.67,63094.40
136,-14209.03,568473.01,8.64,65796.70
137,-14837.29,586163.71,8.68,67532.60
138,-16493.46,683540.65,8.63,79226.30
139,-19445.20,697717.15,8.71,80140.15
140,-19514.44,763967.30,8.75,87358.07
141,-22609.74,743051.85,9.01,82449.70
142,-17178.10,768868.78,8.75,87881.64
143,-20437.08,726767.26,8.82,82433.82
144,-18524.23,756042.91,8.85,85455.16
145,-15949.78,701895.84,8.82,79581.08
146,-14975.17,641878.85,8.70,73741.04
147,-16641.15,644778.11,8.71,73994.52
148,-14626.20,629721.36,8.64,72907.26
149,-17841.17,697338.03,8.78,79460.38
150,-22453.46,727283.82,8.90,81733.69
151,-20812.56,737109.44,8.94,82412.10
152,-18933.46,802421.75,8.87,90415.30
153,-24475.89,853349.65,8.85,96404.65
154,-25951.10,894374.95,8.87,100808.82
155,-25612.69,875536.77,8.85,98982.91
156,-24041.83,860833.71,8.98,95891.96
157,-24816.73,912114.83,8.97,101670.73
158,-19912.51,997991.56,8.88,112403.11
159,-18320.39,909066.68,8.75,103895.31
160,-22411.76,823640.99,8.81,93525.15
161,-18633.47,906062.68,8.76,103422.08
162,-21492.69,886099.99,8.90,99571.04
163,-23729.77,900415.35,8.94,100745.77
164,-21603.00,855084.01,8.82,96942.38
165,-26927.57,955025.59,8.89,107464.44
166,-24073.40,1013493.27,8.92,113651.72
167,-27035.78,950880.45,8.86,107367.11
168,-26689.12,916032.39,8.85,103468.81
169,-26269.86,886444.79,8.88,99861.90
170,-18192.07,882743.31,8.74,100970.95
171,-17673.52,954644.15,8.75,109068.23
172,-17832.60,1014866.43,8.81,115215.36
173,-17585.04,919694.71,8.77,104838.93
174,-19294.25,923008.97,8.90,103755.22
175,-17734.77,888643.28,8.83,100650.11
176,-16849.52,856995.01,8.91,96162.55
177,-16038.91,839749.33,8.82,95184.53
178,-23006.73,918406.81,9.03,101709.76
179,-22057.47,987358.54,9.00,109753.63
180,-24037.60,1047394.42,8.99,116507.57
181,-20262.74,990666.57,8.83,112214.78
182,-21212.55,1077664.72,8.92,120856.89
183,-20720.08,1067165.33,8.95,119174.20
184,-20232.03,954617.08,8.93,106958.35
185,-25253.68,986556.42,9.01,109477.67
186,-21778.97,1019198.33,8.92,114317.59
187,-19408.45,1027585.13,8.78,117034.54
188,-20718.16,1076829.51,8.83,121932.27
189,-22150.09,1019777.76,8.81,115704.64
190,-22194.14,1060919.90,8.97,118288.57
191,-21685.42,956554.74,8.97,106687.53
192,-24410.50,941180.03,8.91,105603.52
193,-28991.94,895510.70,8.85,101163.01
194,-25403.58,959501.10,8.76,109472.75
195,-26144.20,848636.45,8.73,97178.13
196,-23467.90,793710.17,8.70,91250.81
197,-20780.93,745801.24,8.70,85772.41
198,-17882.15,690070.61,8.86,77913.45
199,-35731.21,542325.05,9.16,59190.18
200,-21500.75,953545.95,9.04,105458.99
201,-24294.03,1057370.76,8.99,117554.49
202,-20953.16,1008966.93,8.84,114180.75
203,-23550.61,1002041.08,8.86,113067.37
204,-19824.31,1070361.69,8.81,121511.69
205,-23901.33,1149445.03,8.93,128678.84
206,-25508.64,1104080.18,9.01,122553.17
207,-22683.82,1136102.80,8.94,127027.59
208,-28464.05,1101709.12,9.06,121635.79
209,-48706.00,717377.75,9.26,77497.13
210,-27423.65,1048484.54,9.07,115596.07
211,-23791.40,995202.85,9.01,110446.79
212,-19850.93,867092.79,8.88,97605.89
213,-23215.68,825028.28,8.92,92446.45
214,-20126.64,918807.00,8.89,103367.22
215,-22752.24,948423.73,9.02,105179.86
216,-22239.94,991472.92,8.88,111707.68
217,-25182.55,1093220.07,8.96,121961.09
218,-27992.95,1212491.21,9.00,134791.80
219,-49686.75,961872.16,9.11,105530.75
220,-26488.85,1313214.03,8.99,146147.57
221,-26342.38,1284426.27,8.97,143242.29
222,-23299.75,1183149.47,8.96,132094.14
223,-21086.05,1130096.81,8.86,127505.32
224,-20206.38,1067147.08,8.88,120220.91
225,-20126.93,1111596.50,8.87,125253.71
226,-21546.20,1166872.15,8.96,130257.10
227,-25285.43,1248949.63,9.00,138756.80
228,-28453.29,1280623.84,9.06,141296.40
229,-28654.56,1270919.85,9.08,140029.70
230,-21201.17,1156669.56,8.92,129685.35
231,-23930.94,1201687.28,8.96,134113.68
232,-25383.44,1248106.11,8.98,139002.09
233,-30492.04,1342881.72,9.06,148272.79
234,-45289.21,1053549.71,9.19,114588.59
235,-49159.73,915736.75,9.18,99765.79
236,-28601.57,1269037.70,9.03,140508.66
237,-27336.10,1233771.16,9.04,136533.33
238,-26871.10,1126361.79,9.04,124604.42
239,-22885.11,1112611.99,8.95,124323.21
240,-21397.00,1099047.92,8.96,122606.10
241,-20419.55,1102078.11,8.94,123334.05
242,-21810.46,1109612.01,8.96,123808.28
243,-26568.85,1167879.69,9.04,129126.39
244,-24624.37,1125967.41,8.99,125244.44
245,-20272.74,1087193.76,8.91,121999.47
246,-18378.86,1015381.87,8.87,114476.99
247,-17959.68,1040967.08,8.88,117288.24
248,-16103.48,1006326.17,8.94,112507.37
249,-18662.87,1069999.91,8.95,119581.94
250,-20470.48,1017443.19,8.96,113550.47
251,-19794.78,984509.92,8.88,110879.98
252,-22984.70,1069470.13,8.91,120025.24
253,-23621.36,1144119.76,8.90,128489.62
254,-19777.44,1148431.44,8.89,129193.06
255,-16948.59,841631.51,8.88,94785.03
256,-21632.00,626670.96,9.02,69494.29
257,-20145.61,759517.83,8.96,84778.51
258,-18973.33,801590.98,8.88,90253.50
259,-20338.06,876062.32,8.94,97982.25
260,-17860.63,879734.76,8.92,98590.38
261,-17939.71,843503.89,8.98,93957.94
262,-18568.47,828417.92,8.97,92374.47
263,-17756.05,916009.24,8.89,102985.73
264,-19178.32,906718.79,8.87,102260.62
265,-21216.91,785981.84,8.79,89369.31
266,-19288.84,724611.77,8.85,81889.65
267,-16074.20,636400.90,8.97,70917.83
268,-28292.16,534295.24,9.23,57899.23
269,-14424.22,605376.85,8.99,67340.33
270,-15978.73,647401.79,8.96,72264.42
271,-12900.02,694444.46,8.77,79181.46
272,-15151.32,761831.67,8.79,86647.48
273,-27721.43,719292.54,9.12,78883.36
274,-17145.70,932312.59,8.81,105868.49
275,-21567.04,768292.76,8.90,86365.75
276,-15888.34,625729.05,8.83,70829.37
277,-18326.22,663633.65,8.84,75042.44
278,-21931.73,717534.02,8.88,80840.22
279,-15407.32,783437.41,8.77,89302.11
280,-16728.57,840739.75,8.79,95593.30
281,-20265.54,851539.94,8.98,94833.90
282,-17490.95,905325.92,8.96,101092.70
283,-27881.98,608940.48,9.12,66778.54
284,-31132.86,469005.61,9.17,51134.27
285,-25090.77,548736.63,9.08,60408.61
286,-13534.55,550183.34,8.68,63354.45
287,-12764.30,567189.04,8.68,65348.23
288,-13542.11,553885.02,8.71,63578.86
289,-15510.73,610955.57,8.86,68991.68
290,-17917.23,676252.15,9.02,74933.84
291,-52532.44,88923.94,9.55,9310.00
292,-19065.98,569412.21,8.99,63370.00
293,-12705.24,603577.82,8.70,69401.23
294,-12924.94,543570.51,8.72,62314.87
295,-13523.20,600592.35,8.93,67259.43
296,-15939.54,593626.37,8.86,67003.72
297,-17372.80,668938.80,8.86,75525.61
298,-28482.71,445991.80,9.21,48448.82
299,-35933.29,242923.77,9.40,25849.66
300,-28909.45,350313.22,9.20,38064.33
301,-12241.56,479458.76,8.77,54673.04
302,-10094.78,467216.86,8.78,53215.02
303,-11126.53,396462.74,8.85,44819.76
304,-7152.58,342618.58,8.75,39153.63
305,-7735.99,347494.86,8.69,39997.31
306,-8487.23,363246.22,8.68,41867.16
307,-9832.38,399080.90,8.65,46124.83
308,-13152.45,401033.89,8.88,45169.66
309,-7669.42,445482.81,8.80,50598.33
310,-7233.21,394557.53,8.82,44730.42
311,-7712.73,409288.53,8.86,46218.71
312,-8922.75,406085.29,8.80,46123.60
313,-8562.79,396904.33,8.73,45480.80
314,-11252.38,422468.03,8.87,47652.40
315,-11603.74,491650.42,8.70,56523.20
316,-29190.59,337658.62,9.33,36189.30
317,-32468.26,329680.59,9.26,35604.15
318,-31805.01,280803.65,9.28,30273.57
319,-12991.02,575034.12,8.83,65127.70
320,-11861.22,599018.73,8.71,68735.85
321,-12966.37,522323.25,8.80,59356.68
322,-25976.57,270051.07,9.41,28684.13
323,-11374.46,521388.98,8.99,57998.54
324,-13775.00,437233.97,9.03,48438.57
325,-10468.03,467011.40,8.86,52704.14
326,-12600.43,444147.07,8.97,49525.57
327,-11996.00,497835.86,8.90,55911.53
328,-13447.12,502737.14,9.01,55777.37
329,-27898.51,178567.35,9.51,18769.69
330,-14762.64,547704.20,8.61,63626.94
331,-18116.67,546845.96,8.64,63308.97
332,-13350.40,483416.77,8.54,56599.99
333,-13472.96,547530.72,8.55,64055.74
334,-11748.23,564994.00,8.63,65453.12
335,-10057.75,565814.18,8.73,64782.06
336,-11658.08,531893.72,8.76,60713.78
337,-10140.27,490841.76,8.79,55853.39
338,-8608.26,488124.45,8.85,55172.70
339,-22409.67,254249.20,9.36,27158.94
340,-11460.15,435094.98,9.09,47890.92
341,-8143.05,420135.16,8.82,47607.96
342,-24883.48,171445.97,9.52,18009.09
343,-11664.91,417457.87,9.06,46099.87
344,-15636.00,409873.22,9.20,44553.50
345,-10729.73,487389.03,8.95,54483.22
346,-24805.77,219140.89,9.49,23099.25
347,-14911.05,536644.16,9.08,59090.84
348,-12997.12,517188.39,8.79,58841.71
349,-9933.76,491568.59,8.72,56385.61
350,-12895.58,506504.41,8.83,57358.05
351,-9092.31,500311.29,8.76,57136.03
352,-11341.58,513064.10,8.96,57265.26
353,-10302.99,543287.90,8.74,62181.88
354,-25148.12,463537.15,9.15,50653.97
355,-34920.45,150291.97,9.55,15735.00
356,-16452.68,553039.06,9.06,61050.54
357,-11064.88,643491.95,8.71,73899.43
358,-10536.93,618909.12,8.69,71207.97
359,-10983.34,545793.82,8.87,61548.73
360,-9289.27,529014.14,8.66,61052.87
361,-9290.76,584590.55,8.83,66237.93
362,-22317.21,405724.44,9.24,43908.78
363,-18609.00,468256.14,9.13,51295.75
364,-31328.56,232857.24,9.54,24414.44
